userWallet,num_transactions,num_deposit,num_borrow,num_repay,num_liquidationcall,num_redeemunderlying,total_deposit_usd,total_borrow_usd,total_repay_usd,first_tx,last_tx,deposit_to_borrow_ratio,repay_to_borrow_ratio,active_days,avg_tx_per_day
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,71,0,0,0,0,0,1.876106304033217e+20,963876514.679313,933097790.0335208,1624609837,1630324676,194641769506.89642,0.9680677719842221,67.14396990740741,1.05742928364096
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,6,0,0,0,0,0,2.821056376025053e+20,40102676.334020846,40314333.39845018,1623548213,1626197605,7034583808142.894,1.005277878779596,31.66425925925926,0.1894880897378163
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,0,0,0,0,0,1218108806215370.8,0.0,0.0,1623488053,1623488053,1.2181088062153708e+21,0.0,1.0,1.0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,0,0,0,0,0,1.3920558505203293e+17,0.0,0.0,1621853669,1621853669,1.3920558505203293e+23,0.0,1.0,1.0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,8,0,0,0,0,0,7.604061861653314e+20,886724479.0708098,503650156.4107848,1622527700,1629489034,857545048223.0433,0.5679894581669319,81.57099537037037,0.09807407600797646
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,8,0,0,0,0,0,7.053997334319023e+21,0.0,0.0,1628793467,1630548958,7.053997334319023e+27,0.0,21.31818287037037,0.37526650599845485
0x000e840a3122ec28d0c29321db172375cb049762,10,0,0,0,0,0,7.00190083689281e+20,216825703.6891647,217391397.3215126,1620983877,1623255863,3229276196391.599,1.0026089786530008,27.296134259259258,0.3663522425930276
0x000e9bd1d42999446d60ff60f1fb3afb13604202,22,0,0,0,0,0,6.665412381021296e+19,34630956.15590086,35378008.01727156,1629982386,1630152894,1924697762029.7,1.0215717942642595,2.973472222222222,7.3987575318791166
0x000eab293e332bd6e67018a9150e8807bfac3233,1,0,0,0,0,0,1.097254760600487e+18,0.0,0.0,1627127973,1627127973,1.097254760600487e+24,0.0,1.0,1.0
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,2,0,0,0,0,0,1.0237738923188868e+20,0.0,0.0,1622644687,1623999030,1.0237738923188868e+26,0.0,16.675266203703703,0.11993811526413801
